product_id_erp,onsale_web,price,stock_quantity,stock_status,purchase_price,product_id_web,total_sales,tax_status,product_type,post_title,z_score,CA_article,Rotation_stock,Valorisation_stock,prix_HT,taux_de_marge
4065,True,19.5,0,outofstock,9.67,15022,0.0,taxable,Vin,Oratoire Saint Martin Cairanne Rouge Les Douyes 2016,-0.48030456092263263,0.0,0.0,0.0,16.25,68.05
4066,True,20.8,27,instock,10.42,15967,8.0,taxable,Vin,Oratoire Saint Martin Cairanne Rouge Haut Coustias 2016,-0.4314382517375959,166.4,3.375,561.6,17.33,66.31
4067,True,22.0,22,instock,11.37,15490,7.0,taxable,Vin,Gilles Robin Crozes-Hermitage Rouge Albéric 2017,-0.3863308894129467,154.0,3.142857142857143,484.0,18.33,61.21
4068,True,16.6,25,instock,8.92,16416,12.0,taxable,Vin,Gilles Robin Crozes-Hermitage Rouge Papillon 2019,-0.5893140198738682,199.20000000000002,2.0833333333333335,415.00000000000006,13.83,55.04
4069,True,60.0,4,instock,30.07,11862,3.0,taxable,Vin,Gilles Robin Hermitage Rouge 2012,1.042068917534279,180.0,1.3333333333333333,240.0,50.0,66.28
4070,True,23.4,32,instock,12.21,15444,10.0,taxable,Vin,Gilles Robin Crozes-Hermitage Blanc Les Marelles 2018,-0.3337056333675227,234.0,3.2,748.8,19.5,59.71
4071,True,33.2,19,instock,17.15,15953,10.0,taxable,Vin,Château de Vaudieu Châteauneuf-du-Pape Rouge 2015,0.03467115895044622,332.0,1.9,630.8000000000001,27.67,61.34
4072,True,32.0,8,instock,15.71,12045,5.0,taxable,Vin,Château de Vaudieu Châteauneuf-du-Pape Blanc 2015,-0.010436203374203113,160.0,1.6,256.0,26.67,69.76
4073,True,77.8,8,instock,40.6,13074,4.0,taxable,Vin,Château de Vaudieu Châteauneuf-du-Pape L'Avenue 2015,1.7111614586832424,311.2,2.0,622.4,64.83,59.68
4074,True,12.7,30,instock,6.76,15941,12.0,taxable,Vin,Domaine de la Jérôme Côtes du Rhône Village 201,-0.7359129474289783,152.39999999999998,2.5,381.0,10.58,56.51
4075,True,14.7,35,instock,7.97,16069,10.0,taxable,Vin,Plateau des Chênes Lirac 2015,-0.6607340102212296,147.0,3.5,514.5,12.25,53.7
4076,True,14.05,32,instock,6.9,13072,13.0,taxable,Vin,Plateau des Chênes Lirac 2016,-0.6851671648137478,182.65,2.4615384615384617,449.6,11.71,69.71
4077,True,22.9,34,instock,11.95,15440,12.0,taxable,Vin,Domaine des Bosquets Gigondas 2016,-0.35250036766945986,274.79999999999995,2.8333333333333335,778.5999999999999,19.08,59.67
4078,True,44.0,8,instock,22.28,13435,5.0,taxable,Vin,Domaine des Bosquets Gigondas La Colline 2015,0.4406374198722892,220.0,1.6,352.0,36.67,64.59
4079,True,37.0,0,outofstock,19.5,13078,0.0,taxable,Vin,Le Vieux Donjon Châteauneuf-du-Pape 2013,0.17751113964516868,0.0,0.0,0.0,30.83,58.1
4081,True,39.0,6,instock,19.14,13117,4.0,taxable,Vin,Le Vieux Donjon Châteauneuf-du-Pape 2016,0.2526900768529174,156.0,1.5,234.0,32.5,69.8
4083,True,17.0,21,instock,8.78,16296,9.0,taxable,Vin,"Rimauresq Côtes de Provence Blanc Cru Classé ""R"" 2019",-0.5742782324323185,153.0,2.3333333333333335,357.0,14.17,61.39
4084,True,23.2,23,instock,11.63,16014,7.0,taxable,Vin,"Rimauresq Côtes de Provence Rouge Cru Classé ""R"" 2017",-0.3412235270882975,162.4,3.2857142857142856,533.6,19.33,66.21
4085,True,19.0,27,instock,9.82,16462,8.0,taxable,Vin,Rimauresq Côtes de Provence Rouge Cru Classé 2017,-0.4990992952245698,152.0,3.375,513.0,15.83,61.2
4086,True,16.4,30,instock,8.13,16013,11.0,taxable,Vin,Rimauresq Côtes de Provence Blanc Cru Classé 2019,-0.5968319135946432,180.39999999999998,2.727272727272727,491.99999999999994,13.67,68.14
4087,True,14.4,15,instock,7.81,16180,7.0,taxable,Vin,Rimauresq Côtes de Provence Cru Classé Rosé 2019,-0.6720108508023919,100.8,2.142857142857143,216.0,12.0,53.65
4090,False,73.0,0,outofstock,33.79,,,,,,1.5307320093846457,,0.0,0.0,60.83,80.02
4092,False,47.0,0,outofstock,25.25,,,,,,0.5534058256839123,,0.0,0.0,39.17,55.13
4094,True,13.7,20,instock,7.15,15676,7.0,taxable,Vin,Paul Ginglinger Gewurztraminer Wahlenbourg 2017,-0.6983234788251039,95.89999999999999,2.857142857142857,274.0,11.42,59.72
4095,True,12.6,42,instock,6.31,16120,13.0,taxable,Vin,Paul Ginglinger Muscat Caroline 2018,-0.7396718942893656,163.79999999999998,3.230769230769231,529.1999999999999,10.5,66.4
4096,True,22.8,18,instock,11.54,15564,6.0,taxable,Vin,Paul Ginglinger Pinot Gris Grand Cru Eichberg 2015,-0.3562593145298472,136.8,3.0,410.40000000000003,19.0,64.64
4097,True,12.8,35,instock,6.48,15675,11.0,taxable,Vin,Paul Ginglinger Pinot Gris Les Prelats 2018,-0.7321540005685908,140.8,3.1818181818181817,448.0,10.67,64.66
4098,True,22.1,17,instock,10.96,15378,8.0,taxable,Vin,Paul Ginglinger Pinot Noir Les Rocailles 2016,-0.3825719425525592,176.8,2.125,375.70000000000005,18.42,68.07
4099,True,12.8,40,instock,6.41,15813,14.0,taxable,Vin,Paul Ginglinger Riesling Drei Exa 2018,-0.7321540005685908,179.20000000000002,2.857142857142857,512.0,10.67,66.46
4100,True,15.8,0,outofstock,8.57,13416,0.0,taxable,Vin,Emile Boeckel Gewurztraminer Grand Cru Zotzenberg 2016,-0.6193855947569678,0.0,0.0,0.0,13.17,53.68
4101,True,15.8,21,instock,8.33,14905,7.0,taxable,Vin,Emile Boeckel Pinot Gris Grand Cru Zotzenberg 2016,-0.6193855947569678,110.60000000000001,3.0,331.8,13.17,58.1
4102,True,16.3,16,instock,8.0,15767,7.0,taxable,Vin,Emile Boeckel Sylvaner Grand Cru Zotzenberg 2017,-0.6005908604550305,114.10000000000001,2.2857142857142856,260.8,13.58,69.75
4103,True,16.3,30,instock,8.0,16505,12.0,taxable,Vin,Emile Boeckel Riesling Grand Cru Wiebelsberg 2016,-0.6005908604550305,195.60000000000002,2.5,489.0,13.58,69.75
